State,CMS Certification Number (CCN),Provider Name,Address,City,Zip,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients’ care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients’ risk of falling,How often the home health team checked patients for depression,How often the home health team determined whether patients received a flu shot for the currnet flu season,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot),"With diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care",How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients’ breathing improved,How often patients’ wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted","How often home health patients, who have had a recent hospital stay, had to be re-admitted to the hospital","How often home health patients, who have had a recent hospital stay, received care in the hospital emergency room without being readmitted to the hospital",HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family"
OK,377743,1ST CHOICE HOME HEALTHCARE,"4300 HIGHLINE BLVD, SUITE D-250",OKLAHOMA CITY,73108,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,17.1,13.4,Not Available,Not Available,5,5,92,5,91,3,85,5,94,86
OK,377744,"MAYS HOUSECALL HOME HEALTH OF VINITA, LLC",425 EAST ILLINOIS AVE,VINITA,74301,Proprietary,Yes,Yes,Yes,Yes,No,Yes,4.5,96,100,100,100,89.8,86.4,99.1,72,65.2,82.1,85.5,84.9,,63,11.8,20.2,Same As Expected,Same As Expected,4,4,87,4,84,3,85,3,85,82
OK,377746,"ALL ABOUT CARING HOME HEALTH CARE, LLC","4323 N CLASSEN BLVD, SUITE 105",OKLAHOMA CITY,73118,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2,55.1,90.7,100,96.1,75.2,98,98,37.7,39.5,43.4,26.7,25.2,,30,10,13.1,Not Available,Not Available,2,3,89,3,81,2,79,1,75,72
OK,377747,"TRIAD HOME HEALTH, LLC",129 NORTH PENN,MANGUM,73554,Proprietary,Yes,Yes,Yes,No,No,Yes,3.5,98.5,95.4,100,100,73.5,85.9,95.2,86.3,52.8,87.4,74.3,79.9,,,21.3,17.5,Not Available,Not Available,4,4,90,4,88,3,85,4,89,84
OK,377748,"HEALTH WATCH HEALTH CARE OF WEATHERFORD,LLC",1551 1/2  SOUTH MAIN,MCALESTER,74501,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,88.7,100,99.3,98.7,86.5,35.7,100,59.7,44.1,58.1,53.9,49,,62.4,9.3,19.9,Not Available,Not Available,Not Available,Not Available,92,Not Available,89,Not Available,79,Not Available,90,65
OK,377749,EVERGREEN HOME HEALTH,"9902 EAST 43RD ST, SUITE B",TULSA,74146,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,99.3,100,100,100,81.5,91.4,100,59.8,43.9,71.8,45.2,31.8,,37.3,22.2,8.7,Not Available,Not Available,4,4,90,4,85,4,87,3,86,78
OK,377750,OKLAHOMA HEALTHCARE SOLUTIONS XI,2313 N MAIN,GORE,74435,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,91.5,97.1,99.2,97.2,79,63,100,69.7,65.3,78.8,49.6,41.2,,73.1,12.5,7.1,Not Available,Not Available,4,4,88,3,84,4,88,3,87,84
OK,377751,HEALTH WATCH HEALTH CARE OF ALTUS,103 S HUDSON,ALTUS,73521,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,96.2,99.4,100,100,89.3,86.4,100,68.4,50.4,56.8,54.9,57.7,,58.3,12.9,6.4,Not Available,Not Available,4,4,90,5,91,2,81,3,84,79
OK,377752,"MACARTHUR PARK HOME HEALTH, INC",120 WEST MACARTHUR,SHAWNEE,74804,Proprietary,Yes,Yes,Yes,Yes,No,Yes,2,74.1,34.3,100,91.6,32.9,30.6,56.8,66.1,68.2,72.9,55.9,47.4,,59.4,24.7,15.7,Not Available,Not Available,5,5,95,5,93,3,86,5,95,93
OK,377753,LIFESPRING HOME HEALTH,2102  NORTH KICKAPOO AVENUE,SHAWNEE,74804,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,92.2,97,100,92.2,61.1,88.9,89.2,57.3,54.7,65.9,52.8,55.8,,42,20.5,20.4,Not Available,Not Available,Not Available,Not Available,86,Not Available,86,Not Available,82,Not Available,77,67
OK,377754,"TLC HOME NURSING AND THERAPY SERVCIES, LLC",601 HWY 70 NORTH,KINGSTON,73439,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,91.2,95.2,100,98.4,65,76.6,91.7,67.4,74.7,73.1,60.2,43.9,,54.9,18.4,5.6,Not Available,Not Available,5,5,95,5,94,5,92,5,96,92
OK,377755,SECURE HOME CARE,111 OAK STREET,EUFAULA,74432,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,89.6,100,100,100,73.5,93.9,93.3,71.3,58.5,70.5,62.7,30.7,,71.4,12,15.5,Not Available,Not Available,Not Available,Not Available,92,Not Available,93,Not Available,81,Not Available,86,82
OK,377756,LIFESPRING HOME CARE OF MCALESTER,316 EAST CHOCTAW,MCALESTER,74501,Proprietary,Yes,Yes,Yes,Yes,No,Yes,2.5,89.5,98.8,99,100,30.4,35,93.3,68.1,57.9,62.9,57.8,51.6,,54.3,12.6,23.6,Not Available,Not Available,3,3,85,3,82,2,76,3,82,64
OK,377757,LIFESPRING HOME CARE,"507 SOUTH WILLOW STREET, SUITE B1",PAULS VALLEY,73075,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,94.7,98,100,96.1,82.5,78.6,100,71.3,59.6,76.4,64.8,61.7,91.4,62.3,15.2,15,Same As Expected,Same As Expected,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377758,ADVOCATE HOME HEALTH CARE INC,"4501 NORTH CLASSEN, #102",OKLAHOMA CITY,73118,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,78.8,96.1,,100,100,100,93.3,100,91.8,100,100,88.8,,99.9,17,25,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377759,"MARANATHA HOME HEALTH, INC",6315 S MEMORIAL DR,TULSA,74133,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,69,94.4,100,96.6,63.9,96.7,96.4,57.9,34.8,68,61.9,74.1,,54.4,18.1,6.5,Not Available,Not Available,Not Available,Not Available,85,Not Available,88,Not Available,90,Not Available,89,76
OK,377760,GATEWAY HOME HEALTH CARE,2505 NORTH BROADWAY,POTEAU,74953,Proprietary,Yes,Yes,No,No,No,Yes,,95.8,89.6,100,100,81.1,100,95.2,,,,,,,,6.9,19.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377761,"AHC HHC, LLC","1901 NORTH CLASSEN BLVD, BLDG #108",OKLAHOMA CITY,73106,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377763,"EPWORTH AT HOME, LLC",14901 N  PENNSYLVANIA,OKLAHOMA CITY,73134,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,3.5,99.5,99,100,99,92.4,99,100,52.1,54.2,79.1,63.8,40.3,,60.8,9.1,16.2,Not Available,Not Available,3,2,81,4,85,2,80,3,82,84
OK,377764,BEST CHOICE HOME HEALTH INC,"3035 NW 63RD STREET, SUITE 218N",OKLAHOMA CITY,73116,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,91.3,94.3,100,98.9,75.4,70.6,89.3,90.2,55.4,68.7,59.9,68,,55.4,22.8,13.9,Not Available,Not Available,Not Available,Not Available,82,Not Available,82,Not Available,80,Not Available,74,59
OK,377765,"CAMEO HOME CARE, INC","27096 HWY 59 NORTH, SUITE C",SHADY POINT,74956,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,97.2,77.1,96.9,55.6,64.5,58.8,,78.1,68.8,69,71.8,61.8,,40.1,25.1,20.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377766,"NEW HOPE HOME HEALTH NURSING, LLC",119 NORTH 4TH STREET,HENRYETTA,74437,Proprietary,Yes,Yes,Yes,No,No,Yes,2,78.1,87.7,100,100,73.8,70.8,,33.1,49.3,48.1,,58.1,,48,15.6,17.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377767,"GENESIS HOME HEALTH, LLC",110 NORTH D STREET,YALE,74085,Proprietary,Yes,Yes,Yes,Yes,No,Yes,2,91.7,88.2,98.2,86.8,57.5,32.1,90.7,64.8,38.6,36,49.3,50.9,,33.9,21.4,10.7,Same As Expected,Same As Expected,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377768,ULTIMATE ONE HOME HEALTH CARE,"3617 NW 58TH STREET, SUITE 102",OKLAHOMA CITY,73112,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,87.1,87.1,98.6,100,79.3,95.1,95.8,66.6,53.1,81.4,60.5,68.4,,62.9,16.7,26.3,Not Available,Not Available,Not Available,Not Available,94,Not Available,91,Not Available,91,Not Available,95,88
OK,377769,"CORNERSTONE HEALTHCARE AGENCY, LLC",314 WEST MAIN STREET,STROUD,74079,Proprietary,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377770,"KAL HOME HEALTH, INC",302 NORTH POCOLA BLVD,POCOLA,74902,Proprietary,Yes,No,Yes,Yes,No,Yes,3.5,92.1,100,100,100,80,78.8,100,96,79.7,82.3,52.3,51.3,,65.4,19.3,18.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377771,"ARBUCKLE HOME HEALTH, INC",1200 WEST 2ND STREET,SULPHUR,73086,Proprietary,Yes,Yes,Yes,Yes,Yes,No,4,98.8,98.8,100,100,77.2,89.3,100,78.8,55.7,84.7,89,66.9,,68.8,21.5,14,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377772,"PLATINUM HEALTHCARE, INC",1304 NW 7TH STREET,STIGLER,74462,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,88.2,100,100,94.1,66.7,84.8,,,,,,,,,13.1,21.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377773,ALLY HOME HEALTH LLC,212 WEST MAIN STREET,BINGER,73009,Proprietary,Yes,Yes,Yes,No,No,Yes,4,97.8,97.7,100,100,66.2,89.8,96.1,82,65.3,89.6,77.6,67.3,,,9.8,16.1,Not Available,Not Available,5,5,99,5,95,5,97,5,100,99
OK,377774,HARMONY HOME CARE II,1213 PIEDMONT ROAD NORTH,PIEDMONT,73078,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,100,89.7,100,99,76,83.7,100,63.3,47.3,65.8,58.8,49.2,,54.5,13,12.1,Not Available,Not Available,3,3,86,3,81,4,89,3,82,69
OK,377775,ALWAYS BETTER CARE HOME HEALTH,1314 WEST EVERGREEN,DURANT,74701,Proprietary,Yes,Yes,Yes,Yes,Yes,No,,65.4,96.2,100,100,,76.9,,,,,,,,,16.1,0.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377776,"TRUEVINE HEALTHCARE, LLC","2424 SPRINGER DRIVE, SUITE 300",NORMAN,73069,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,95.6,96.5,100,98.2,77,88.2,95.9,47.5,48.6,67,56.5,46.1,,45.9,20.2,14.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377778,OLDHAM HOME CARE LLC,205 NORTH BROADWAY STREET,STIGLER,74462,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,93.3,100,100,95.6,57.1,36.4,,,,,,,,,11.9,25.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377779,PATIENCE HOME HEALTH CARE LLC,"5400 NW 23RD STREET, SUITE 204",OKLAHOMA CITY,73127,Proprietary,Yes,No,No,No,No,Yes,,63.6,95,,100,,65,,,,,,,,,14.5,31.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377780,CARTER HEALTHCARE,1609 NORTH STRONG BLVD,MCALESTER,74501,Proprietary,Yes,Yes,Yes,Yes,No,No,5,96.9,100,100,100,78.2,77.4,100,97.3,88.1,100,93.5,92.1,,91.7,14.3,10.1,Not Available,Not Available,3,3,83,4,84,3,84,3,79,78
OK,377781,ASCENT HOME HEALTH,"311 EAST RAYFINE BLVD, SUITE 1",ROLAND,74954,Proprietary,Yes,Yes,Yes,Yes,No,No,2.5,82.7,93.3,100,96,78.4,87.5,100,69,65.7,71.1,39.7,51.1,100,53.8,17.5,7.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377782,"MATERELLI HOME HEALTH SERVICES, INC","1211 NORTH SHARTEL AVE, SUITE 405",OKLAHOMA CITY,73103,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377783,OKLAHOMA HEALTHCARE SOLUTIONS XII,"2108 SOUTH DIVISION, SUITE B",GUTHRIE,73044,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377784,"ALPHA HEALTHCARE SERVICES, INC","9810 EAST 42ND STREET SOUTH, SUITE 221",TULSA,74146,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377785,"GENTLE HANDS HOME HEALTH, LLC","4801 NORTH CLASSEN BLVD, SUITE 253",OKLAHOMA CITY,73118,Proprietary,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377786,"COVENANT HOME HEALTH, LLC","707 SOUTH ROLAND,#4",ROLAND,74954,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377787,SCISSORTAIL HEALTHCARE LLC,"1203 EAST 33RD STREET, SUITE 200",TULSA,74105,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377788,HOLISTIC HOME CARE HOME HEALTH LLC,102 SE MAIN STREET,KEOTA,74941,Proprietary,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OK,377789,"FUSION HOME HEALTH, LLC","301 EAST BROADWAY, SUITE B",ALTUS,73521,Proprietary,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OR,387000,HARNEY COUNTY HOME HEALTH,415 NORTH FAIRVIEW,BURNS,97720,Government - State/ County,Yes,Yes,No,Yes,Yes,Yes,3,76.3,96.6,98.5,94.5,68.3,75.6,,57.8,61.4,79.2,74.3,,,58.2,16.9,18.8,Not Available,Not Available,Not Available,Not Available,92,Not Available,91,Not Available,87,Not Available,87,91
OR,387003,AMEDISYS HOME HEALTH CARE,"12021 NE GLENN WIDING DR, BLDG G",PORTLAND,97220,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,80.5,99.4,96.5,88.8,82.9,76.8,93.3,66.4,60.4,70.4,64.3,75,96.9,54.4,14.9,12.8,Worse Than Expected,Same As Expected,2,3,85,3,80,2,78,1,71,70
OR,387007,KAISER PERMANENTE HOME HEALTH AGENCY,"2701 NW VAUGHN STREET, SUITE 140",PORTLAND,97210,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,2,75.2,88.1,99.1,94.8,80.7,94.3,89.7,57.4,53.8,60.3,57.6,65,85.4,45.7,,,Not Available,Not Available,3,3,85,3,81,3,83,3,79,72
OR,387016,PROVIDENCE  MEDFORD HOME CARE,2033 COMMERCE DRIVE,MEDFORD,97501,Non - Profit Religious,Yes,Yes,Yes,Yes,Yes,Yes,2.5,94.5,96.1,99.7,99.8,75.9,85.9,95.1,57.1,61.5,64.1,59.7,68.3,97.1,50.7,18.2,13.4,Worse Than Expected,Worse Than Expected,4,4,90,5,89,3,86,4,87,85
OR,387023,SACRED HEART HOME HEALTH,"677 E 12TH AVE, SUITE N200",EUGENE,97401,Non - Profit Religious,Yes,Yes,Yes,Yes,Yes,Yes,2.5,48.5,95.1,99.5,90.8,78,71.2,95.4,62.6,64.4,67.7,59.1,56,89.4,47.7,16.7,15.9,Same As Expected,Worse Than Expected,3,3,86,3,83,3,83,3,84,78
OR,387026,ST CHARLES HOME HEALTH SERVICES,63031 NE LAYTON AVE,BEND,97701,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,3,94.4,93.9,99.9,98.8,75.5,88.6,99.4,62.8,62.6,70.2,58.9,73.4,89.5,55.6,17.2,14.7,Same As Expected,Worse Than Expected,4,4,89,5,87,3,85,3,81,79
OR,387032,ST ANTHONY HOME CARE SERVICES,3001 ST ANTHONY WAY,PENDLETON,97801,Non - Profit Religious,Yes,Yes,Yes,Yes,Yes,Yes,3.5,91.3,95.5,99.3,90.1,79.3,90.9,96.5,61.6,74.3,74.1,70.9,66.4,,57.7,14.7,22.3,Same As Expected,Same As Expected,5,5,93,5,91,5,93,4,92,88
OR,387033,MERCY MEDICAL CENTER HOME HEALTH AGENCY,2675 NW EDENBOWER BLVD,ROSEBURG,97471,Non - Profit Religious,Yes,Yes,Yes,Yes,Yes,Yes,3,50.5,98.2,99.7,98.9,77.2,85.7,98.4,64.6,65.7,70.8,63.2,67.6,94.3,55.8,15.6,13.6,Same As Expected,Same As Expected,4,4,86,4,84,3,83,3,76,75
OR,387037,GRANDE RONDE HOSPITAL HOME CARE SERVICES,2502 COVE AVENUE SUITE A,LA GRANDE,97850,Non - Profit Private,Yes,Yes,Yes,No,Yes,Yes,3.5,92.7,97.2,100,100,76.7,81.9,100,71.1,67.3,66.1,73.5,56.6,,55.1,11.7,13.7,Not Available,Not Available,Not Available,Not Available,96,Not Available,89,Not Available,97,Not Available,95,91
OR,387038,PIONEER MEMORIAL HOME HEALTH,564 EAST PIONEER DRIVE,HEPPNER,97836,Government - State/ County,Yes,Yes,No,No,Yes,Yes,2.5,78.2,92,93.8,95.5,70.7,83.5,56,49.7,60.3,68.6,61.1,61,,51,8.1,18.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OR,387039,BAY AREA HOSPITAL HOME HEALTH AGENCY,3950 SHERMAN AVENUE,NORTH BEND,97459,Non - Profit Other,Yes,Yes,Yes,Yes,Yes,Yes,2.5,84.7,93.2,99.1,97.8,68.1,88,96.8,61.5,55.3,61.6,64.3,62.1,91,44.7,14.7,14.9,Same As Expected,Worse Than Expected,4,4,87,4,86,5,93,4,90,88
OR,387041,VISITING HEALTH SERVICES,1730 EAST 12TH STREET,THE DALLES,97058,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,3.5,91.7,94.6,99.2,92.2,69.5,72.7,80.8,66.3,67,75,66.5,77,91.7,60.6,11.9,18.6,Same As Expected,Worse Than Expected,4,4,87,4,85,4,89,3,85,83
OR,387045,BLUE MOUNTAIN HOME HEALTH AGENCY,422 WEST MAIN STREET,JOHN DAY,97845,Government - State/ County,Yes,Yes,Yes,Yes,Yes,Yes,2,76.3,89.9,100,96.1,54.7,46.7,79.5,61.5,51.8,69.2,55.2,56.8,,54.5,24,12.1,Not Available,Not Available,Not Available,Not Available,77,Not Available,89,Not Available,89,Not Available,79,80
OR,387047,ADVENTIST HOME HEALTH - PORTLAND,5835 NE 122ND AVENUE STE 155,PORTLAND,97230,Non - Profit Religious,Yes,Yes,Yes,Yes,Yes,Yes,3.5,94.3,99.1,99.3,94.4,74.8,84.2,97.8,64.8,68,73.7,67,69.1,89.8,55.3,13.8,11.7,Same As Expected,Same As Expected,3,3,84,3,80,2,79,3,79,73
OR,387048,PROVIDENCE HOME HEALTH,"6410 NE HALSEY STREET, SUITE 200",PORTLAND,97213,Non - Profit Religious,Yes,Yes,Yes,Yes,Yes,Yes,2.5,88.2,88,99.3,97.6,70.9,81.8,91.9,62.4,57.9,64.4,65,67.3,92.2,49.6,15.8,15.7,Worse Than Expected,Worse Than Expected,3,4,88,4,84,2,80,3,83,80
OR,387057,CASCADE HEALTH SOLUTIONS,"2650 SUZANNE WAY, SUITE 200",EUGENE,97408,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,4.5,86,98.7,99.9,99.6,89.6,94.8,99,79.3,74.5,88,79.3,80.3,98.3,69.7,14.7,12.4,Same As Expected,Same As Expected,4,4,88,4,86,4,87,3,77,82
OR,387062,TUALITY HOME HEALTH,3201 19TH AVENUE,FOREST GROVE,97116,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,2.5,93.3,93.2,99.4,98.2,85.1,72.9,90.7,55.5,60.9,56,60.7,59.1,92,52.7,12.6,14.9,Same As Expected,Same As Expected,4,4,86,4,86,3,83,3,81,80
OR,387064,ASANTE ASHLAND COMMUNITY HOSPITAL HHA,209 NORTH PACIFIC HWY,TALENT,97540,Government - Combination Government & Voluntary,Yes,Yes,Yes,Yes,Yes,Yes,3,83.2,84.9,98.5,93.5,54.3,61.9,94.5,68.6,71,71.3,66.5,64.6,92.2,47.9,13.3,9.9,Same As Expected,Same As Expected,5,5,93,5,91,4,90,4,92,87
OR,387066,PEACE HARBOR HOME HEALTH,2230 KINGWOOD STREET,FLORENCE,97439,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,3,79.1,99.5,100,98.1,55.5,73.1,98.2,62.1,56.5,68.9,67.1,68.5,100,51.7,13.2,22.1,Same As Expected,Same As Expected,4,4,87,4,84,3,84,3,85,81
OR,387067,PARTNERS HOME HEALTH,2075 NE WYATT COURT,BEND,97701,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,2.5,95.9,98.8,100,99.1,82.2,91.2,99.7,53.7,58.2,56.5,55.7,48.5,79.4,39.6,14.9,11.3,Same As Expected,Same As Expected,4,5,90,4,87,3,83,3,87,88
OR,387074,PROVIDENCE BENEDICTINE HOME HEALTH,570 SOUTH MAIN STREET,MOUNT ANGEL,97362,Non - Profit Religious,Yes,Yes,Yes,Yes,Yes,Yes,2.5,93,90.7,99.8,98.6,77.3,85.7,98.7,57.3,55.7,61.8,62.1,58.7,92.1,48.9,13.3,20.4,Not Available,Not Available,3,3,85,3,82,2,80,3,80,74
OR,387075,SKY LAKES HOME HEALTH,2605 CROSBY AVE,KLAMATH FALLS,97603,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,2.5,80.5,86.3,99.5,99.3,70.6,81.6,96.7,63.3,59.4,65.5,61,62,91.5,44,12.2,12.2,Worse Than Expected,Same As Expected,3,3,85,3,83,2,79,3,82,72
OR,387076,THREE RIVERS HOMECARE,"1830 NE 7TH STREET, SUITE 101",GRANTS PASS,97526,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,94.2,99.8,99.2,98.1,74.8,80.1,99.5,81.3,82.5,88.1,88.6,90.1,99.2,80.6,15.4,13.3,Same As Expected,Worse Than Expected,4,4,89,4,87,3,84,3,86,81
OR,387077,SAMARITAN PACIFIC HOME HEALTH,749 SW 11TH STREET,NEWPORT,97365,Non - Profit Other,Yes,Yes,Yes,Yes,Yes,Yes,2,82,88.2,99.5,98.7,68.8,80.7,92,56.5,55,55.4,60.7,51.2,91.8,45.3,16.8,20.5,Same As Expected,Worse Than Expected,2,3,83,3,77,1,73,2,69,64
OR,387079,COQUILLE VALLEY HOSPITAL HOME HEALTH AGENCY,942 NORTH CENTRAL BOULEVARD,COQUILLE,97423,Non - Profit Other,Yes,Yes,Yes,Yes,Yes,Yes,2,82.2,91.1,100,99,53.6,70.2,97.1,62.4,42.4,49.8,49.7,63.8,,41.3,21,10.9,Not Available,Not Available,Not Available,Not Available,87,Not Available,84,Not Available,86,Not Available,69,57
OR,387086,SAMARITAN NORTH LINCOLN HOSPITAL HOME HEALTH,3011 NE 28TH STREET,LINCOLN CITY,97367,Non - Profit Other,Yes,Yes,Yes,Yes,Yes,Yes,3,83.2,87.1,98.3,97.5,74.3,88.5,91.5,62.8,74.7,69.5,58.7,64.2,97.6,46.3,12.3,16.2,Same As Expected,Same As Expected,4,5,94,5,91,2,81,2,67,77
OR,387087,COASTAL HOME HEALTH & HOSPICE,"29975 HARBOR WAY, SUITE A",GOLD BEACH,97444,Non - Profit Other,Yes,Yes,No,Yes,Yes,Yes,2.5,76.5,94.9,99,97.9,63,82.8,98.9,59.5,59.2,63,60.4,69.9,93.8,49.1,10.1,18.6,Same As Expected,Same As Expected,4,4,91,5,89,4,89,3,84,88
OR,387089,WALLOWA MEMORIAL HOSPITAL HOME HEALTH,601 MEDICAL PARKWAY,ENTERPRISE,97828,Government - State/ County,Yes,Yes,No,No,No,No,,94.6,100,100,97.1,65,79.3,,,,,,,,,14,17.1,Not Available,Not Available,Not Available,Not Available,88,Not Available,82,Not Available,84,Not Available,71,84
OR,387090,GOOD SHEPHERD HOME HEALTH,435 NW 11TH STREET,HERMISTON,97838,Non - Profit Other,Yes,Yes,Yes,Yes,No,Yes,2.5,91.8,88.9,98.2,81.5,84.4,92.3,95.6,55.2,65,60.5,53.2,71.8,84.9,52.6,17.3,20.1,Same As Expected,Same As Expected,4,5,91,5,89,2,81,3,86,84
